status:1; attack_plan:[RC::pc:0; bit:1; register:2;]; registers:[0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 7, 2, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; globals:[0, 2, 85, 0, 0, 0, 0, 1, 2, 3, 4]
status:1; attack_plan:[RC::pc:0; bit:1; register:2;]; registers:[0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 7, 2, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; globals:[0, 2, 85, 0, 0, 0, 0, 1, 2, 3, 4]
status:1; attack_plan:[RC::pc:0; bit:0; register:2;]; registers:[0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 7, 2, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; globals:[0, 2, 85, 0, 0, 0, 0, 1, 2, 3, 4]
status:1; attack_plan:[RC::pc:0; bit:0; register:2;]; registers:[0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 7, 2, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; globals:[0, 2, 85, 0, 0, 0, 0, 1, 2, 3, 4]
status:1; attack_plan:[RC::pc:0; bit:0; register:2;]; registers:[0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 7, 2, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; globals:[0, 2, 85, 0, 0, 0, 0, 1, 2, 3, 4]
status:0; attack_plan:[RC::pc:1; bit:7; register:2;]; registers:[0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; globals:[0, 3, 0, 0, 0, 0, 0, 1, 2, 3, 4]
status:0; attack_plan:[RC::pc:1; bit:7; register:2;]; registers:[0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; globals:[0, 3, 0, 0, 0, 0, 0, 1, 2, 3, 4]
status:0; attack_plan:[RC::pc:1; bit:7; register:2;]; registers:[0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; globals:[0, 3, 0, 0, 0, 0, 0, 1, 2, 3, 4]
status:0; attack_plan:[RC::pc:1; bit:6; register:2;]; registers:[0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; globals:[0, 3, 0, 0, 0, 0, 0, 1, 2, 3, 4]
status:0; attack_plan:[RC::pc:1; bit:6; register:2;]; registers:[0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; globals:[0, 3, 0, 0, 0, 0, 0, 1, 2, 3, 4]
